Resort_Name,Google_Id,Opening_Hours,Google_Rating,Street,City,State&Zipcode
Squaw Valley Resort,b7fb29e66c62c2a21a27cca4b8e183587bc0d74e,{},4.6,1960 Squaw Valley Rd,1960 Squaw Valley Rd,1960 Squaw Valley Rd
Mammoth Mountain Ski Area,eb88b74b18bbb12aa8824fddbeeca3a3b3bed136,{'open_now': False},4.8,10001 Minaret Rd,10001 Minaret Rd,10001 Minaret Rd
Mt. Shasta Nordic Center,6f109f6a2cbec6c45bbd1b9e1bf7e525db7bf1be,{'open_now': False},4.8,Forest Rte 31,Forest Rte 31,Forest Rte 31
Alpine Meadows,680b1caf2408694ea57e57638279e3846b2384f3,{'open_now': False},4.7,2600 Alpine Meadows Rd,2600 Alpine Meadows Rd,2600 Alpine Meadows Rd
Boreal Mountain California,3dd2b7aa51a8d8a113ce1905591e122d88cd28b3,{'open_now': False},4.3,19749 Boreal Ridge Rd,19749 Boreal Ridge Rd,19749 Boreal Ridge Rd
Donner Ski Ranch,81e8ecca74e0cd0c7858909243b8872be2a1254e,{'open_now': False},4.3,19320 Donner Pass Rd,19320 Donner Pass Rd,19320 Donner Pass Rd
Loon Mountain Resort,23521466a425abd2cb30d3944eb329f144c49070,,4.6,60 Loon Mountain Rd,60 Loon Mountain Rd,60 Loon Mountain Rd
Kirkwood Mountain Resort,26d090cfd6859cda63f6bfdec27306bd1a1129d9,{'open_now': False},4.7,1501 Kirkwood Meadows Dr,1501 Kirkwood Meadows Dr,1501 Kirkwood Meadows Dr
Northstar California Resort,ebc4263bc008dcd7bfd8ea2f14036e8622059f30,{},4.5,5001 Northstar Dr,5001 Northstar Dr,5001 Northstar Dr
Sierra-at-Tahoe Resort,83c1cd492f4f2ab6caefd0671327fae36c4c0659,{'open_now': False},4.6,1111 Sierra-At-Tahoe Rd,1111 Sierra-At-Tahoe Rd,1111 Sierra-At-Tahoe Rd
Sugar Bowl Resort,b3519b07bdf9bda09b8977b8391d4b2c7e68a9d1,{},4.6,629 Sugar Bowl Rd,629 Sugar Bowl Rd,629 Sugar Bowl Rd
Soda Springs Mountain Resort,eeb1b83446cf698f5446fa325f730749e7398dc6,{'open_now': False},4.1,10244 Soda Springs Rd,10244 Soda Springs Rd,10244 Soda Springs Rd
Tahoe Donner Downhill Ski Resort,4aa422fa6dcf9993a1c7589c2b5e2c1a5ca2d77e,{'open_now': True},4.5,11603 Snowpeak Way,11603 Snowpeak Way,11603 Snowpeak Way
Badger Pass Ski Area,2cb813f9ae91e603c3c1b09e8b410055317075d7,{'open_now': False},4.5,7082 Glacier Point Rd,7082 Glacier Point Rd,7082 Glacier Point Rd
Skyline Bear Valley Mountain Resort,41e4381f0de16253d8392335cc7e19c7958e1776,,4.4,2280 CA-207,2280 CA-207,2280 CA-207
Dodge Ridge Ski Resort,7cae3502afeb8a3d4d97c90686732a16b6094ec0,{},4.5,1 Dodge Ridge Rd,1 Dodge Ridge Rd,1 Dodge Ridge Rd
June Mountain Ski Area,7c74aee3954b52bc0e08c0986cf5cc0367a5bd57,{'open_now': False},4.7,3819 CA-158,3819 CA-158,3819 CA-158
China Peak Mountain Resort,58cf89a4a9a4bb947755476f9fc6a72659c57b35,{},4.4,59265 CA-168,59265 CA-168,59265 CA-168
Alta Sierra Ski Resort,320f1d5702f5c7b0391682330e0e94c3f889edfb,{},4.5,56700 Rancheria Rd,56700 Rancheria Rd,56700 Rancheria Rd
Buckhorn Ski and Snowboard Club,5c5fa283342f3d4642658dea35b0b8a1a05a9a60,{},4.9,58.33 mile marker Angeles National Forest,58.33 mile marker Angeles National Forest,58.33 mile marker Angeles National Forest
Big Bear Mountain Resort,bcd8a4004fe30139ac5fcdffc91a4c24f29b83fc,{},4.6,880 Summit Blvd # A,880 Summit Blvd # A,880 Summit Blvd # A
Mt. Baldy Resort,82f5eeddd237191ed6497956447d3ddcd2e1b846,{'open_now': False},4.4,8401 Mt Baldy Rd,8401 Mt Baldy Rd,8401 Mt Baldy Rd
Mt Waterman Ski Lifts,9936c6b91ee2a1ade2cc85650774f4700b534dec,{},4.7,California 2,California 2,California 2
Mountain High Resort,4e260a2158ad5a0faba5fe9121649e51e034f612,{'open_now': False},4.4,24510 CA-2,24510 CA-2,24510 CA-2
Snow Summit Ski Resort,d6af481154dc05287d32e95d4d94ff366f24c5a8,{},4.5,880 Summit Blvd,880 Summit Blvd,880 Summit Blvd
Snow Valley Mountain Resort,05ac9d5f7ce385f227b6d4b54148ad3d30fbd979,{},4.5,35100 CA-18,35100 CA-18,35100 CA-18
Cedar Pass Ski Area,44000c723ee4d334145fc508951a91317cb746cc,,4.0,Co Rd 195,Co Rd 195,Co Rd 195
